"PTT","date_time","year","date","time","argos_loc_class","lon","lat","dep_year","dep_date","end_date","track_dur","dep_loc","dep_lat","dep_lon","stage","sex","maturity","init_activity","num_locations","movement"
"53348",2010-02-27 14:31:00,2010,2010-02-27,14:31:00,"B",169.678,-68.43,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 12:07:00,2010,2010-02-28,12:07:00,"A",169.631,-68.359,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 12:41:00,2010,2010-02-28,12:41:00,"2",169.424,-68.336,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 13:14:00,2010,2010-02-28,13:14:00,"1",169.474,-68.349,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 13:33:00,2010,2010-02-28,13:33:00,"B",169.475,-68.381,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 13:48:00,2010,2010-02-28,13:48:00,"0",169.432,-68.353,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 14:21:00,2010,2010-02-28,14:21:00,"A",169.351,-68.347,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 15:12:00,2010,2010-02-28,15:12:00,"B",169.384,-68.346,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 15:18:00,2010,2010-02-28,15:18:00,"B",169.335,-68.333,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 15:23:00,2010,2010-02-28,15:23:00,"B",169.335,-68.365,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-28 15:50:00,2010,2010-02-28,15:50:00,"B",169.365,-68.366,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-03-01 02:27:00,2010,2010-03-01,02:27:00,"A",169.067,-68.4,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
